"
ICP 永续/USDT "	-5.28USDT≈ 5.27USD	2021/07/15 16:36:34
"
RVN 永续/USDT "	-1.60USDT≈ 1.6USD	2021/07/15 16:05:18
"
MANA 永续/USDT "	-4.60USDT≈ 4.6USD	2021/07/15 15:11:37
"
DGB 永续/USDT "	-1.30USDT≈ 1.3USD	2021/07/15 15:00:12
"
BAT 永续/USDT "	-0.72USDT≈ 0.72USD	2021/07/15 14:04:07
"
MANA 永续/USDT "	-1.25USDT≈ 1.25USD	2021/07/15 13:52:27
"
MANA 永续/USDT "	-2.08USDT≈ 2.08USD	2021/07/15 13:33:10
"
MANA 永续/USDT "	1.34USDT≈ 1.34USD	2021/07/15 13:18:29
"
RVN 永续/USDT "	0.09USDT≈ 0.09USD	2021/07/15 12:53:17
"
VET 永续/USDT "	-1.72USDT≈ 1.72USD	2021/07/15 11:20:13
1INCH 永续/USDT	0.14USDT≈ 0.14USD	2021/07/15 11:00:53
"
AVAX 永续/USDT "	0.01USDT≈ 0.01USD	2021/07/15 10:26:59
"
ATOM 永续/USDT "	0.40USDT≈ 0.4USD	2021/07/15 09:40:39
"
COMP 永续/USDT "	2.28USDT≈ 2.28USD	2021/07/15 09:25:36
"
OCEAN 永续/USDT "	-0.32USDT≈ 0.32USD	2021/07/15 09:23:30
"
ALGO 永续/USDT "	-0.02USDT≈ 0.02USD	2021/07/15 09:21:20
"
OCEAN 永续/USDT "	-2.06USDT≈ 2.06USD	2021/07/15 09:14:06
"
KSM 永续/USDT "	-3.10USDT≈ 3.1USD	2021/07/15 09:05:44
"
FIL 永续/USDT "	-0.25USDT≈ 0.25USD	2021/07/15 09:05:43
"
LUNA 永续/USDT "	-2.51USDT≈ 2.51USD	2021/07/15 09:03:53
"
ALGO 永续/USDT "	-0.86USDT≈ 0.86USD	2021/07/15 09:00:12
"
DGB 永续/USDT "	-0.57USDT≈ 0.57USD	2021/07/15 09:00:12
"
MANA 永续/USDT "	-10.92USDT≈ 10.92USD	2021/07/15 08:45:56
"
LUNA 永续/USDT "	-10.54USDT≈ 10.54USD	2021/07/15 08:42:26
"
ATOM 永续/USDT "	1.51USDT≈ 1.51USD	2021/07/15 08:24:21
"
RVN 永续/USDT "	-2.02USDT≈ 2.02USD	2021/07/15 08:17:28
