"
ALGO 永续/USDT "	0.18USDT≈ 0.18USD	2021/07/11 12:50:09
"
LUNA 永续/USDT "	-0.11USDT≈ 0.11USD	2021/07/11 12:45:34
"
SUSHI 永续/USDT "	-1.18USDT≈ 1.18USD	2021/07/11 12:11:18
"
AAVE 永续/USDT "	-1.11USDT≈ 1.11USD	2021/07/11 12:01:26
"
ATOM 永续/USDT "	-0.13USDT≈ 0.13USD	2021/07/11 11:59:21
"
ALGO 永续/USDT "	-0.30USDT≈ 0.3USD	2021/07/11 11:57:22
"
DASH 永续/USDT "	-0.19USDT≈ 0.19USD	2021/07/11 11:52:08
"
DGB 永续/USDT "	0.02USDT≈ 0.02USD	2021/07/11 11:40:37
"
ALGO 永续/USDT "	0.18USDT≈ 0.18USD	2021/07/11 11:20:20
"
ALGO 永续/USDT "	1.01USDT≈ 1.01USD	2021/07/11 09:44:22
"
FTM 永续/USDT "	-0.39USDT≈ 0.39USD	2021/07/11 09:36:32
"
MANA 永续/USDT "	-0.78USDT≈ 0.78USD	2021/07/11 09:18:13
1INCH 永续/USDT	0.32USDT≈ 0.32USD	2021/07/11 09:01:19
"
MANA 永续/USDT "	-0.18USDT≈ 0.18USD	2021/07/11 08:31:42
"
SNX 永续/USDT "	-0.59USDT≈ 0.59USD	2021/07/11 08:28:41
"
ALGO 永续/USDT "	-0.22USDT≈ 0.22USD	2021/07/11 08:25:47
"
OCEAN 永续/USDT "	0.80USDT≈ 0.8USD	2021/07/11 08:21:22
"
KSM 永续/USDT "	0.07USDT≈ 0.07USD	2021/07/11 08:18:07
"
VET 永续/USDT "	-1.63USDT≈ 1.63USD	2021/07/11 08:13:29
"
MANA 永续/USDT "	0.53USDT≈ 0.53USD	2021/07/11 08:01:34
"
ALGO 永续/USDT "	0.88USDT≈ 0.88USD	2021/07/11 07:53:33
"
MANA 永续/USDT "	1.08USDT≈ 1.08USD	2021/07/11 07:38:34
"
MANA 永续/USDT "	0.38USDT≈ 0.38USD	2021/07/11 07:03:23
"
KSM 永续/USDT "	-1.00USDT≈ 1USD	2021/07/11 07:02:33
"
LUNA 永续/USDT "	-1.19USDT≈ 1.19USD	2021/07/11 06:35:43
"
ENJ 永续/USDT "	0.50USDT≈ 0.5USD	2021/07/11 05:47:13
"
AVAX 永续/USDT "	-0.12USDT≈ 0.12USD	2021/07/11 05:39:54
"
DGB 永续/USDT "	0.12USDT≈ 0.12USD	2021/07/11 05:37:55
"
MANA 永续/USDT "	0.84USDT≈ 0.84USD	2021/07/11 05:36:11
1INCH 永续/USDT	1.07USDT≈ 1.07USD	2021/07/11 05:24:25
"
SNX 永续/USDT "	0.02USDT≈ 0.02USD	2021/07/11 05:18:31
"
COMP 永续/USDT "	-0.14USDT≈ 0.14USD	2021/07/11 05:17:39
"
MATIC 永续/USDT "	0.34USDT≈ 0.34USD	2021/07/11 05:17:25
"
BAND 永续/USDT "	-0.06USDT≈ 0.06USD	2021/07/11 05:17:01
"
DGB 永续/USDT "	0.09USDT≈ 0.09USD	2021/07/11 05:11:15
"
OCEAN 永续/USDT "	-0.06USDT≈ 0.06USD	2021/07/11 05:06:36
"
AVAX 永续/USDT "	-1.62USDT≈ 1.62USD	2021/07/11 05:06:17
"
OCEAN 永续/USDT "	0.20USDT≈ 0.2USD	2021/07/11 05:00:15
"
ENJ 永续/USDT "	1.20USDT≈ 1.2USD	2021/07/11 04:28:16
"
ALGO 永续/USDT "	-0.91USDT≈ 0.91USD	2021/07/11 04:10:24
"
MANA 永续/USDT "	-0.32USDT≈ 0.32USD	2021/07/11 03:32:53
"
ALGO 永续/USDT "	1.42USDT≈ 1.42USD	2021/07/11 01:48:52
"
OCEAN 永续/USDT "	5.23USDT≈ 5.23USD	2021/07/11 01:45:41
"
ALGO 永续/USDT "	0.84USDT≈ 0.84USD	2021/07/11 00:55:03
"
ALGO 永续/USDT "	-0.98USDT≈ 0.98USD	2021/07/10 22:56:34
"
SNX 永续/USDT "	76.97USDT≈ 76.96USD	2021/07/08 23:29:47
"
XRP 永续/USD "	32.91XRP≈ 18.38USD	2021/06/22 23:29:31
"
DOT 永续/USD "	-0.23DOT≈ 2.74USD	2021/06/22 23:29:09
"
DOT 永续/USD "	0.08DOT≈ 0.93USD	2021/06/22 17:15:01
"
DOT 永续/USD "	3.55DOT≈ 40.82USD	2021/06/22 16:39:17
"
XRP 永续/USD "	10.17XRP≈ 5.68USD	2021/06/21 21:45:20
"
XRP 永续/USD "	-3.52XRP≈ 1.96USD	2021/06/21 05:48:07
"
XRP 永续/USD "	4.41XRP≈ 2.46USD	2021/06/21 03:33:05
"
DOT 永续/USD "	1.97DOT≈ 22.69USD	2021/06/20 19:34:07
"
XRP 永续/USD "	-0.51XRP≈ 0.28USD	2021/06/20 04:48:58
